No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,LATITUD,LONGITUD
114,SUBA,VECINAL,BERLIN,Calle 139 #144A-28,4.7471865,-74.1169105
115,SUBA,ZONAL,CAFAM II GAVILANES - CIUDADELA CAFAM II PREDIO LOS GAVILANES,Carrera 143 #142A-63,4.7492074,-74.1160817
116,SUBA,ZONAL,CANAL CORDOBA,Carrera 54B #118-03,4.7018382,-74.0650337
117,SUBA,ZONAL,CASA BLANCA,Carrera 80 #145-65,3.3876318,-76.5322016
118,SUBA,METROPOLITANO,CEFE COMETAS,Calle 127A #81-26,4.7119306,-74.0835206
119,SUBA,ZONAL,CEFE FONTANAR DEL RIO,Calle 145 #141a-1,4.7541935,-74.1119569
120,SUBA,VECINAL,CIUDADELA CAFAM ANTES URBANIZACIÓN PUERTO SOL,Carrera 113C #142A-53,4.7481326,-74.1036998
121,SUBA,VECINAL,DESARROLLO BILBAO SEGUNDO SECTOR,Carrera 151A #142C-14,4.7511836,-74.1219758
122,SUBA,VECINAL,DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,Calle 160 #55-50,4.74276,-74.05757109999999
123,SUBA,ZONAL,EL TOMILLAR,Carrera 76 # 147-40,4.740423799999999,-74.0729712
124,SUBA,ZONAL,FONTANAR DEL RIO,Calle 145 #141a-1,4.7541935,-74.1119569
125,SUBA,ZONAL,LA GAITANA,Carrera 125B #131A-09,4.7393639,-74.1088602
126,SUBA,ZONAL,MORATO,Calle 107 #70A-34,4.6973034,-74.07305269999999
127,SUBA,ZONAL,NIZA XII,Carrera 57 #119A-60,3.8801105,-77.00469690000001
128,SUBA,METROPOLITANO,PARQUE COMETAS,Calle 127A #81-26,4.7119306,-74.0835206
129,SUBA,VECINAL,PRADO PINZÓN,Calle 143 #49-38,4.726213899999999,-74.0538581
130,SUBA,ZONAL,SAN JOSÉ DE BAVARIA,Calle 169B #67-50,4.7550405,-74.0634283
131,SUBA,ZONAL,TIBABUYES,Calle 139 #127C-48,4.746105300000001,-74.1102992
132,SUBA,VECINAL,URBANIZACIÓN BURGOS BRITALIA 1,Carrera 73 #160-44,4.6239019,-74.1414534
133,SUBA,VECINAL,URBANIZACIÓN LOMBARDIA II ETAPA,Calle 143 #109b-9,4.7474814,-74.0997763
134,SUBA,VECINAL,URBANIZACIÓN MAZUREN I SECTOR,Calle 152 #50-02,4.7351567,-74.0533519
135,SUBA,VECINAL,URBANIZACIÓN NUEVA TIBABUYES 1,Calle 130C #121C-99,4.7358994,-74.107198
136,SUBA,VECINAL,URBANIZACIÓN VALLE DE REFOUS,Carrera 101 #148-81,4.7480762,-74.0906719
