X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid
-74.1863739996615,4.59671800028594,4005,272A09,09,Br. La Estación,KR 77 G,KR 77G - CL 65 J Sur,Bosa,-74.186374,4.596718,272,S,KR 77G - CL 65 J Sur (272A09),KR 77G - CL 65 J Sur,Carrera 77 G Calle 65 J Sur,G,{A49F150A-527E-498E-9C84-2D625924BF30}
-74.1753832092649,4.59236985257582,4006,272A10,10,Br. La Estancia,KR 75,KR 75 - CL 59A Sur,Ciudad Bolívar,-74.17538321,4.59236985,272,S,KR 75 - CL 59A Sur (272A10),KR 75 - CL 59A Sur,Carrera 75 Calle 59 A Sur,H,{3DE51849-146C-432A-A8AF-CBD8D26E9361}
-74.1474352002902,4.55008789523194,4007,272A11,11,IED Lucero Alto,KR 18I,KR 18I - CL 68A Sur,Ciudad Bolívar,-74.1474352,4.5500879,272,M,KR 18I - CL 68A Sur (272A11),KR 18I - CL 68A Sur,Carrera 18 I Calle 68 A Sur,H,{A417EB0E-AC43-4928-9C7A-D455115C82A7}
-74.114317088315,4.55501703601032,4008,272A12,12,Br. Marruecos,TV 5N Bis,TV 5N Bis - KR 48W,Rafael Uribe,-74.11431709,4.55501704,272,S,TV 5N Bis - KR 48W (272A12),TV 5N Bis - KR 48W,Carrera Quinta L Calle 48 Q Sur,H,{40C6512D-A292-4F43-9A20-418D2D8F8EF0}
-74.0773163243412,4.57354968537963,4009,272A13,13,Br. Vitelma,KR 8E,KR 8E - CL 8C Sur,Santa Fe,-74.07731632,4.57354969,272,S,KR 8E - CL 8C Sur (272A13),KR 8E - CL 8C Sur,Carrera 8E Calle Octava C Sur,L,{E145806D-CFB7-4180-8D52-E83D45C8415C}
-74.146676999941,4.55048400003827,4010,272B11,11,IED Lucero Alto,KR 18I,TV 18I - DG 68 Sur,Ciudad Bolívar,-74.146677,4.550484,272,M,TV 18I - DG 68 Sur (272B11),TV 18I - DG 68 Sur,Transversal 18 I Diagonal 68 Sur,H,{DBE65D43-9FDC-4C7E-8759-F11EC9FEDAA2}
-74.0781073669332,4.63418259620291,4011,273A00,00,Br. La Soledad,AC 45,AC 45 - KR 27A,Teusaquillo,-74.07810737,4.6341826,273,S,AC 45 - KR 27A (273A00),AC 45 - KR 27A,Avenida Calle 45 Carrera 27 A,A,{9A02266B-224D-4EDC-BBF3-5F57B1BDC1C2}
-74.0336239410393,4.7410418583406,4012,273A01,01,Br. La Pradera Norte,CL 163A,CL 163A - KR 13A,Usaquén,-74.03362394,4.74104186,273,S,CL 163A - KR 13A (273A01),CL 163A - KR 13A,Calle 163 A Carrera 13 A,B,{555D3E8D-10E6-4322-B2A5-74BD06992594}
-74.0496072822413,4.78922537320634,4013,273A02,02,Campus U. Santo Tomás,AC 209,AC 209 - KR 54,Suba,-74.04960728,4.78922537,273,S,AC 209 - KR 54 (273A02),AC 209 - KR 54,Avenida Calle 209 Carrera 54,B,{9EEE7AB4-967C-4412-8D18-BFCE1D48B6EE}
-74.1025210003505,4.73031099960245,4014,273A03,03,San Francisco Suba,KR  118A,KR 118A - CL 126F,Suba,-74.102521,4.730311,273,S,KR 118A - CL 126F (273A03),KR 118A - CL 126F,Carrera 118 A Calle 126 F,C,{AC975064-16A8-4338-A460-E4085F436171}
-74.1076420004062,4.70566699970381,4015,273A04,04,Br. París,Cl 76A,CL 76A - KR 93,Engativá,-74.107642,4.705667,273,S,CL 76A - KR 93 (273A04),CL 76A - KR 93,Calle 76 A Carrera 93,D,{5EDF9A9E-5BD1-432F-896D-865B961A70F8}
-74.1042130003339,4.67646200022273,4016,273A05,05,Br. El Encanto,KR 73,KR 73 - CL 63,Engativá,-74.104213,4.676462,273,S,KR 73 - CL 63 (273A05),KR 73 - CL 63,Carrera 73 Calle 63,D,{D7BBFA04-F06B-439F-B6E6-EE7F6C59E7B9}
-74.0966790908731,4.62899524832009,4017,273A06,06,Calle 21,CL 21,CL 21 - KR 42,Puente Aranda,-74.09667909,4.62899525,273,S,CL 21 - KR 42 (273A06),CL 21 - KR 42,Calle 21 Carrera 42,K,{BC8F3590-D2D2-4A9B-A443-E152C12A65CC}
-74.1048770807173,4.61855025280266,4018,273A07,07,Br. Los Ejidos,CL 9,CL 9 - KR 41B,Puente Aranda,-74.10487708,4.61855025,273,S,CL 9 - KR 41B (273A07),CL 9 - KR 41B,Calle Novena Carrera 41 Be,F,{6DEC5B89-D6FE-4EF1-B237-9F7981F10473}
-74.1899840213528,4.59906363406107,4019,273A09,09,Br. La Estación,KR 77J,KR 77J - CL 69B Sur,Bosa,-74.18998402,4.59906363,273,S,KR 77J - CL 69B Sur (273A09),KR 77J - CL 69B Sur,Carrera 77 J Calle 69 Be Sur,G,{B62F786B-77A1-46E7-BD4D-F0F55FFCCBEF}
-74.120320000385,4.58276300018454,4020,273A10,10,Br. Inglés,DG 36 Sur,DG 36 Sur -KR 25,Rafael Uribe,-74.12032,4.582763,273,S,DG 36 Sur -KR 25 (273A10),DG 36 Sur -KR 25,Diagonal 36 Sur Carrera 25,H,{E98B4A6D-B2BA-4E38-83AB-66A00BACD6DD}
-74.1175985613289,4.55783354806131,4021,273A12,12,Br. Molinos Del Sur,Tv  5Y,TV 5Y - DG 48L Bis Sur,Rafael Uribe,-74.11759856,4.55783355,273,S,TV 5Y - DG 48L Bis Sur (273A12),TV 5Y - DG 48L Bis Sur,Transversal Quinta Y Diagonal 48 L Bis Sur,H,{AF5406F6-C17A-4C6A-8052-D09FE9832413}
-74.0772384383392,4.57370017910478,4022,273A13,13,Vitelma,KR  8 BIS E,KR 8 Bis E - CL 8 Sur,Santa Fe,-74.07723844,4.57370018,273,S,KR 8 Bis E - CL 8 Sur (273A13),KR 8 Bis E - CL 8 Sur,Carrera Octava Bis Este Calle Octava Sur,L,{6CA5BD3F-1D41-40DD-B123-6001E707284D}
-74.0767856459541,4.63427588291941,4023,274A00,00,Colegio El Carmelo,AC 45,AC 45 - KR 25A,Teusaquillo,-74.07678565,4.63427588,274,S,AC 45 - KR 25A (274A00),AC 45 - KR 25A,Avenida Calle 45 Carrera 25 A,A,{DB5A4CA9-3D6E-4A14-B438-EE678C01CBD5}
-74.0426458932013,4.77181630872556,4024,274A01,01,Br. Canaima,Auto Norte,Auto Norte - CL 193,Usaquén,-74.04264589,4.77181631,274,M,Auto Norte - CL 193 (274A01),Auto Norte - CL 193,Autopista Norte Calle 193,B,{4113FF5D-E441-4BBD-B16C-231FD6545154}
-74.1046464743364,4.73240983105548,4025,274A03,03,Br.  Nueva Tibabuyes,Cl 129D,CL 129D - KR 118,Suba,-74.10464647,4.73240983,274,S,CL 129D - KR 118 (274A03),CL 129D - KR 118,Calle 129 D Carrera 118,C,{B79614F9-4F29-4BC2-956C-FADA1433CA38}
-74.1052470000607,4.70335100025536,4026,274A04,04,Conjunto Residencial Afidro,Cl 76A,CL 76A - KR 89B,Engativá,-74.105247,4.703351,274,S,CL 76A - KR 89B (274A04),CL 76A - KR 89B,Calle 76 A Carrera 89 Be,D,{FCE6E9A8-7321-4565-9D97-D59AF38AEDDE}
-74.1046680003273,4.67816500002789,4027,274A05,05,Br. El Encanto,KR  73A BIS,KR 73A BIS - CL 64A,Engativá,-74.104668,4.678165,274,S,KR 73A BIS - CL 64A (274A05),KR 73A BIS - CL 64A,Carrera 73 A Bis Calle 64 A,D,{D72CE1B2-0E7F-46EB-B6DD-ED0D3287E694}
-74.0855021031603,4.62929629979851,4028,274A06,06,KR 33,CL 25B,CL 25B - KR 33,Teusaquillo,-74.0855021,4.6292963,274,S,CL 25B - KR 33 (274A06),CL 25B - KR 33,Calle 25 Be Carrera 33,K,{649E60D3-C882-4063-BA9F-3AABF94B62B2}
