precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
1295000000,248.0,3,4,5,COUNTRY CLUB USAQUEN 901,Más de 20 años,10000.0,3,874-M2806611,0,1,1,0,0,1,0,0,0,0,0.0,CHAPINERO
470000000,70.23,2,2,4,CEDRITOS,Entre 0 y 5 años,319000.0,1,2456-M3295612,0,0,0,0,0,1,0,0,0,1,4.0,USAQUEN
680000000,91.0,3,2,4,CEDRITOS,Entre 0 y 5 años,350000.0,2,3553-M3295335,0,0,0,0,0,0,1,0,0,1,2.0,USAQUEN
435000000,105.0,3,2,4,USAQUEN,Más de 20 años,378000.0,1,3147-M3783218,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
1150000000,170.0,3,4,5,BELLA SUIZA USAQUEN,Entre 10 y 20 años,750000.0,2,2162-M3640903,0,1,0,0,0,1,0,1,1,0,20.0,USAQUEN
420000000,83.6,3,2,4,CEDRITOS,Más de 20 años,337000.0,1,4058-M3640617,0,0,0,0,0,1,0,0,0,0,0.0,USAQUEN
550000000,115.0,3,3,5,LISBOA USAQUEN,Entre 10 y 20 años,635000.0,2,11203-M3159261,0,0,0,0,0,0,0,0,0,1,2.0,USAQUEN
1080000000,151.26,3,4,5,SANTA ANA OCCIDENTAL USAQUEN,Entre 10 y 20 años,650000.0,2,15319-M4162837,0,1,0,0,0,1,0,0,0,1,10.5,USAQUEN
520000000,69.0,2,2,6,BELMIRA USAQUEN,Entre 0 y 5 años,575000.0,1,3240-M4029074,0,0,0,0,0,1,1,0,0,1,2.0,USAQUEN
503000000,108.0,3,3,4,ACACIAS USAQUEN,Entre 10 y 20 años,457000.0,1,3496-M4083511,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
2150000000,300.0,4,5,6,BOSQUE MEDINA USAQUEN,Remodelado,1100000.0,2,2162-M3238091,0,1,0,0,0,1,0,0,0,1,18.0,USAQUEN
480000000,90.0,3,3,4,USAQUEN,Más de 20 años,430000.0,1,12363-M3992819,1,0,0,0,0,0,0,0,0,1,1.0,USAQUEN
560000000,77.76,2,3,4,CEDRITOS,Entre 0 y 5 años,400000.0,2,3165-M3807740,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
311500000,69.0,3,2,4,CAOBOS SALAZAR USAQUEN,Más de 20 años,255000.0,1,2974-M4107676,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
405000000,77.0,3,2,4,CEDRITOS,Entre 10 y 20 años,426000.0,1,12633-M4095298,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
1550000000,191.0,4,5,6,SIERRAS DEL MORAL USAQUEN,Entre 10 y 20 años,992000.0,2,2377-M4183412,0,0,0,1,0,0,1,0,1,0,19.0,USAQUEN
1800000000,220.0,3,3,5,USAQUEN,Más de 20 años,1232000.0,2,2359-M3859644,0,0,0,0,0,0,0,0,1,0,49.0,USAQUEN
550000000,103.0,3,2,4,CEDRITOS,Entre 10 y 20 años,369200.0,1,2592-M4037519,0,1,0,0,0,0,1,0,0,0,0.0,USAQUEN
660000000,82.27,3,2,4,CEDRITOS,Entre 0 y 5 años,,2,14384-M4154754,0,0,0,0,0,1,0,0,0,0,0.0,USAQUEN
400000000,77.0,3,2,4,CEDRITOS,Más de 20 años,321000.0,1,2359-M4127340,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
1350000000,199.0,3,5,6,BOSQUE MEDINA USAQUEN,Entre 5 y 10 años,1305000.0,2,2162-M2778104,0,0,0,0,0,1,0,0,1,0,40.0,USAQUEN
1180000000,178.0,3,4,6,GINEBRA USAQUEN,Más de 20 años,1200000.0,3,3553-M4127380,0,0,0,0,0,0,0,0,0,1,4.0,USAQUEN
510000000,73.6,2,3,4,ACACIAS USAQUEN,Entre 0 y 5 años,500000.0,1,13433-M4129006,0,0,0,0,0,1,1,0,0,1,5.0,USAQUEN
1450000000,230.0,3,4,6,USAQUEN,Más de 20 años,1068000.0,2,3553-M3635523,0,0,0,0,0,1,0,0,0,0,0.0,USAQUEN
1270000000,150.0,3,3,6,USAQUEN,Entre 10 y 20 años,650000.0,2,44-M3317069,0,1,0,0,0,1,0,0,0,0,0.0,USAQUEN
420000000,83.6,3,2,4,CEDRITOS,Más de 20 años,337000.0,1,4058-M3691054,0,0,0,0,0,1,0,0,0,0,0.0,USAQUEN
247000000,48.0,2,1,4,CEDRITOS,Más de 20 años,399000.0,1,3858-M4023423,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
310000000,46.17,2,2,4,CEDRITOS,Entre 5 y 10 años,295000.0,1,883-M3685727,0,0,0,0,0,0,0,0,0,1,2.0,USAQUEN
485000000,74.0,2,2,5,NUEVA AUTOPISTA USAQUEN,Entre 0 y 5 años,534000.0,2,755-M4021465,0,0,0,0,0,0,1,0,0,1,4.0,USAQUEN
560000000,104.0,3,3,4,CEDRITOS,Entre 10 y 20 años,632000.0,2,15453-M4083066,0,0,0,0,0,0,1,0,0,1,5.0,USAQUEN
275000000,65.0,3,2,3,VERBENAL SAN ANTONIO,Entre 10 y 20 años,201800.0,1,874-M3783576,0,0,0,0,0,0,1,0,0,1,1.0,USAQUEN
1450000000,185.0,3,4,5,ALTOS DE USAQUEN,Entre 10 y 20 años,660000.0,3,5168-M2589462,0,1,0,0,0,1,0,0,1,0,90.0,USAQUEN
470000000,80.0,2,2,5,LOS CEDROS USAQUEN,Entre 5 y 10 años,395000.0,1,5537-M3851039,0,0,0,0,0,0,0,0,0,1,2.5,USAQUEN
