precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
389000000,85.0,3,2,4.0,ESTRELLA DEL NORTE USAQUEN,Entre 10 y 20 años,209000.0,1,464-1784,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
1750000000,270.0,3,4,6.0,MOLINOS NORTE,Más de 20 años,1350000.0,3,5175-M4129104,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
890000000,187.0,3,4,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,1032000.0,2,93-M3577667,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
1300000000,185.0,1,1,6.0,MOLINOS NORTE,Más de 20 años,1260000.0,2,5175-M4147971,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
500000000,110.0,2,4,6.0,MOLINOS NORTE,Más de 20 años,435000.0,2,2529-15796,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
316000000,73.0,3,2,3.0,SAN CRISTOBAL NORTE USAQUEN,Entre 5 y 10 años,272000.0,1,12500-M3883371,0,0,0,1,0,0,0,0,0,0,0.0,CHAPINERO
195000000,56.22,3,2,2.0,SAN CRISTOBAL NORTE USAQUEN,Más de 20 años,140800.0,0,2398-M3524326,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
261500000,66.0,3,3,3.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,247300.0,1,12500-M3801571,0,0,0,1,0,0,0,0,0,0,0.0,CHAPINERO
830000000,172.57,3,5,6.0,MOLINOS NORTE,Más de 20 años,700000.0,2,4-M3324402,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
970000000,140.0,2,3,5.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,560000.0,2,2671-M3383515,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
420000000,82.0,3,2,5.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,530000.0,2,771-M4135317,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,,1,9947-M4048941,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
3200000000,300.0,3,4,6.0,CERRO NORTE USAQUEN,Entre 10 y 20 años,2600000.0,4,2671-M3756049,0,1,1,0,0,1,0,1,1,0,1.0,CHAPINERO
451000000,86.0,3,2,5.0,COUNTRY CLUB USAQUEN,Más de 20 años,,2,12036-M4005138,0,0,0,1,0,0,0,0,0,0,0.0,CHAPINERO
250000000,60.0,3,2,4.0,ESTRELLA DEL NORTE USAQUEN,Más de 20 años,270000.0,1,2529-M4145633,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
1600000000,151.0,3,3,6.0,MOLINOS NORTE,Entre 0 y 5 años,1000000.0,2,5175-M3975355,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
360000000,68.0,2,2,5.0,NUEVO COUNTRY USAQUEN,Más de 20 años,444100.0,1,5082-M4133650,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
260000000,66.72,3,2,4.0,SAN ANTONIO NORTE USAQUEN,Entre 5 y 10 años,222000.0,1,603-M2681878,0,0,0,0,0,1,1,0,0,0,0.0,CHAPINERO
237000000,62.0,3,2,3.0,SAN ANTONIO NORTE USAQUEN,Más de 20 años,188000.0,1,12500-M4139454,0,0,0,1,0,0,1,0,0,0,0.0,CHAPINERO
256999999,64.56,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,142074.0,1,11139-M3798067,0,0,0,1,0,1,0,0,0,1,,CHAPINERO
170000000,41.0,2,1,3.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,118500.0,0,703-M3856854,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
2000000000,500.0,4,5,6.0,MOLINOS NORTE,Más de 20 años,2000000.0,3,5175-M4074330,1,0,1,0,0,0,0,0,1,0,1.0,CHAPINERO
408000000,88.0,3,2,4.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,260000.0,1,12500-M4045360,0,0,0,1,0,0,1,0,0,1,,CHAPINERO
187000000,53.0,1,1,3.0,LA GRANJA NORTE USAQUEN,Entre 0 y 5 años,,0,2398-M4066255,0,0,0,0,0,1,1,0,0,0,0.0,CHAPINERO
800000000,117.0,2,2,6.0,MOLINOS NORTE,Entre 10 y 20 años,700000.0,2,5175-M4137386,0,0,0,0,0,0,0,0,1,0,1.0,CHAPINERO
950000000,202.0,3,3,6.0,MOLINOS NORTE,Más de 20 años,886000.0,2,5175-M3781581,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
850000000,133.0,3,3,6.0,MOLINOS NORTE,Más de 20 años,590000.0,2,5175-3928,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
1400000000,193.0,3,3,6.0,MOLINOS NORTE,Más de 20 años,1036000.0,2,5175-M4091474,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
275000000,60.35,2,2,4.0,SAN ANTONIO NORTE USAQUEN,Entre 5 y 10 años,190000.0,1,5031-8815,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
530000000,110.0,3,3,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,535000.0,2,2398-M4146705,0,0,0,0,0,0,1,1,0,1,,CHAPINERO
1700000000,268.24,3,2,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,1643130.0,3,17-M4136043,0,1,0,0,0,0,0,0,1,0,1.0,CHAPINERO
670000000,93.0,1,3,6.0,MOLINOS NORTE,Entre 5 y 10 años,660000.0,2,5175-M4051905,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
780000000,120.0,2,3,6.0,MOLINOS NORTE,Entre 5 y 10 años,1065000.0,2,5175-M3331683,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
580000000,126.0,3,2,6.0,MOLINOS NORTE,Más de 20 años,670300.0,1,5175-M3411814,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
710000000,128.0,3,3,6.0,MOLINOS NORTE,Más de 20 años,674169.0,1,5175-M3887219,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
180000000,62.0,3,2,3.0,SAN ANTONIO NORTE,Más de 20 años,78000.0,0,MC3997328,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
1450000000,255.0,3,4,6.0,CENTRO NORTE USAQUEN,Más de 20 años,1000000.0,2,2162-M3055081,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
340000000,74.0,3,2,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,224000.0,1,2444-M4123580,0,1,0,0,0,0,0,1,0,0,0.0,CHAPINERO
195000000,45.0,3,2,3.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,110000.0,1,9947-11909808,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
408000000,88.0,2,1,4.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,260000.0,1,5175-M4027239,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
520000000,113.0,3,3,5.0,NUEVO COUNTRY USAQUEN,Más de 20 años,,2,175-M3601428,0,0,0,0,0,1,1,0,1,0,1.0,CHAPINERO
1379000000,239.0,3,4,6.0,CHICO USAQUEN,Entre 5 y 10 años,,3,11295-M3980247,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
190000000,62.0,1,2,3.0,SAN ANTONIO NORTE USAQUEN,Entre 5 y 10 años,188000.0,1,347-M4060318,0,0,0,0,0,1,0,0,0,1,10.0,CHAPINERO
400000000,67.0,2,2,6.0,NUEVO COUNTRY USAQUEN,Entre 5 y 10 años,450000.0,2,2671-9076,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
990000000,67.0,3,2,6.0,COUNTRY CLUB USAQUEN,Entre 10 y 20 años,1250000.0,2,2671-M4126762,1,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
930000000,193.0,3,3,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,889000.0,3,2671-M3276989,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
185000000,43.0,3,1,3.0,SAN ANTONIO NORTE CHICO,Entre 10 y 20 años,85000.0,1,MC4151797,0,0,0,0,0,1,0,0,0,0,0.0,CHAPINERO
360000000,60.0,3,2,4.0,CERRO NORTE USAQUEN,Entre 10 y 20 años,264400.0,1,2671-M4176025,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
360000000,69.0,2,2,5.0,NUEVO COUNTRY USAQUEN,Entre 5 y 10 años,422000.0,1,2361-M3878074,0,0,0,1,0,1,0,0,0,0,0.0,CHAPINERO
650000000,108.0,2,2,6.0,MOLINOS NORTE,Entre 10 y 20 años,688000.0,2,5175-M4039378,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
910000000,175.0,3,3,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,889000.0,2,2671-M3277007,0,0,0,1,0,0,1,0,0,0,0.0,CHAPINERO
150000000,40.0,2,1,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,185000.0,0,2765-M3990738,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
330000000,56.0,2,2,6.0,MOLINOS NORTE,Más de 20 años,350000.0,1,5175-M3976692,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
