precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,piso,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,descripcion,link,query,date
173000000,46.0,2,2,3,BRAVO PAEZ Rafael Uribe Uribe Tunjuelito,Entre 5 y 10 años,200000.0,1.0,1,MC4149427,0,0,0,0,0,0,0,0,0,0,,"Se vende excelente apartamento en bravo paez, barrio con alta valorización Área: 46MTS - Sala comedor - 2 habitaciones - Cocina integral - dos baños - Zona de lavado - Parquedero Privado cubierto con escritura - Vigilancia. Un sector para vivir en total tranquilidad, con excelentes vías de acceso y cerca al colegios, vías principales y a cinco minutos de cc mayor.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bravo-paez-2-habitaciones-2-banos-1-garajes/MC4149427,tunjuelito,Sun Apr  2 16:39:55 2023
220000000,58.0,2,2,3,CIUDAD TUNAL Rafael Uribe Uribe Tunjuelito,Entre 0 y 5 años,250000.0,1.0,6,MC3140688,0,0,0,0,0,0,0,0,0,0,,"Apartamento en 6to piso. Cuenta con sala comedor, cocina, baño social, dos habitaciones (una con baño privado). Las habitaciones tienen closet. El apartamento cuenta con calentador a gas, ascensor y vigilancia 24 horas. Excelente ubicación.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-lucia-2-habitaciones-2-banos-1-garajes/MC3140688,tunjuelito,Sun Apr  2 16:40:00 2023
180000000,43.0,3,2,2,GUIPARMA Rafael Uribe Uribe Tunjuelito,Entre 0 y 5 años,103000.0,,6,MC4082201,0,0,0,0,0,0,0,0,0,0,,"Vendo hermoso APARTAMENTO en el conjunto TORRES DEL veinte DE JULIO en BOGOTA, Totalmente NUEVO Y TERMINADO. LISTO PARA ESTRENAR! Cuenta con: * Sala comedor * Cocina integral *Patio de ropas. * Tres habitaciones con sus respectivos closets *Dos baños con división en vidrio. El apartamento esta totalmente enchapado, tiene todas las puertas internas en madera. las torres son de treinta pisos. El conjunto cuenta con ascensores. DIAGONAL 47 SUR No 12 A 1",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-providencia-3-habitaciones-2-banos/MC4082201,tunjuelito,Sun Apr  2 16:40:04 2023
179000000,49.5,3,2,3,TUNAL RESERVADO Tunjuelito,Más de 20 años,102000.0,,3,MC4130190,0,0,0,0,0,0,0,0,0,0,,"Hermoso apartamento de 49.5 metros cuadrados ubicado en el Tunal, listo para convertirse en tu hogar. Ideal para aquellas personas que buscan un espacio cómodo y acogedor para la familia. tercer piso, consta de Sala comedor, Cocina integral, Zona de ropas, dos baños completos, dos habitaciones y estudio (tercer habitación). Cocina recién remodelada; conjunto cerrado, vigilancia 24 hrs, sector muy tranquilo, excelentes vías de acceso, avenidas principales, Centro Cial. y buen transporte público",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-el-tunal-oriental-3-habitaciones-2-banos/MC4130190,tunjuelito,Sun Apr  2 16:40:08 2023
155000000,49.0,3,2,2,20 DE JULIO Rafael Uribe Uribe Tunjuelito,Entre 0 y 5 años,,1.0,0,MC3288669,0,0,0,0,0,0,0,0,0,0,,"Vendo o arriendo (ochocientos mil pesos incluida la administración) apto cerca al barrio 20 de Julio , con cancha sintética de fútbol 5, zonas verdes, lobby con talanqueras y tarjeta de acceso, gimnasios exteriores bio-saludables, juegos infantiles al aire libre, salón de juegos de mesa, salón comunal, salón de juegos infantiles, zona BBQ.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marco-fidel-suarez-3-habitaciones-2-banos-1-garajes/MC3288669,tunjuelito,Sun Apr  2 16:40:12 2023
195000000,54.0,3,1,3,BOSQUE DE SAN CARLOS Rafael Uribe Uribe Tunjuelito,Entre 10 y 20 años,118000.0,,5,MC4054571,0,0,0,0,0,0,0,0,0,0,,"Apartamento acogedor con muy buena iluminación natural, en conjunto cerrado, estrato 3, remodelado, cocina integral, tres alcobas con closet, piso en cerámica, ubicado entre troncales caracas y carrera decima, frente al parque metropolitano Bosque San Carlos y Clínica Carlos Lleras. Venta directa.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-de-san-carlos-3-habitaciones-1-banos/MC4054571,tunjuelito,Sun Apr  2 16:40:18 2023
135000000,50.0,3,1,3,GUIPARMA Rafael Uribe Uribe Tunjuelito,Entre 10 y 20 años,60000.0,,6,MC4032264,0,0,0,0,0,0,0,0,0,0,,"Apartamento de 3 alcobas, sala, comedor, cocina, zona de ropas, baño, altillo para bodegaje, pisos terminados acabados de lujo punto para la chimenea cocina integral con meson en quarzon de 20mm italiano marca concentino motivo de venta viaje economico venta rapida",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-guiparma-3-habitaciones-1-banos/MC4032264,tunjuelito,Sun Apr  2 16:40:22 2023
180000000,50.0,3,2,3,SAN CARLOS SUR Rafael Uribe Uribe Tunjuelito,Entre 10 y 20 años,140000.0,,1,MC4021863,0,0,0,0,0,0,0,0,0,0,,"Vidrios termoacústicos terminaciones de primera calidad, cerca al parque y hospital San Carlos, una propiedad lista para ocupar.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-luis-3-habitaciones-2-banos/MC4021863,tunjuelito,Sun Apr  2 16:40:27 2023
153000000,48.0,3,1,3,GUIPARMA Rafael Uribe Uribe Tunjuelito,Entre 5 y 10 años,80000.0,,4,MC4013615,0,0,0,0,0,0,0,0,0,0,,"Exelente oportunidad de inversión, buena iluminación y ventilación natural. Muy buenas condiciones.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-providencia-3-habitaciones-1-banos/MC4013615,tunjuelito,Sun Apr  2 16:40:31 2023
148000000,36.0,1,1,3,murillo toro quiroga Rafael Uribe Uribe Tunjuelito,Entre 0 y 5 años,,,3,MC4028407,0,0,0,0,0,0,0,0,0,0,,"Excelente oportunidad cuenta con 1 depósito y zona de BBQ en la terraza, buena iluminación, no paga administración.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-murillo-toro-1-habitaciones-1-banos/MC4028407,tunjuelito,Sun Apr  2 16:40:36 2023
125000000,45.0,3,1,2,BOCHICA SUR Rafael Uribe Uribe Tunjuelito,Más de 20 años,,,3,MC4073964,0,0,0,0,0,0,0,0,0,0,,"Vendo apartamento de tres alcobas, cocina semi integral, se entrega con pisos en baldosa y paredes estucadas y en general remodelado, la parada del alimentador y SITP está a 60 metros, el valor del apartamento solo es de ciento veinticinco millones que es un costo de hoy en día muy por debajo de una vivienda VIS pero en obra gris y con las terminaciones a entregar, si desean puedo ceder crédito por casi 57 mm que tiene tasas de interés mas favorable con las de hoy en dia, para descontarlo.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-cerros-de-oriente-3-habitaciones-1-banos/MC4073964,tunjuelito,Sun Apr  2 16:40:40 2023
