precio,area_m2,habitaciones,baños,estrato,administracion,parqueadero,equipado,sauna,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,antiguead,barrio,codigo,date,descripcion,localidad,piso
390000000.0,60.0,1.0,2.0,3.0,285000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Entre 5 y 10 años,LA MACARENA,2328-M3053803,Sun Apr  2 16:43:46 2023,"Financio espectacular apartamento para estrenar ubicado en lugar estratégico de la ciudad, muy cerca al centro histórico de la ciudad, centro internacional con ventanas termoacústicas, terraza, edificio con gimnasio, sala de juntas, BBQ, contacto Claudia Zarate.",santa fe,4
320000000.0,47.0,1.0,2.0,3.0,242900.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,Entre 0 y 5 años,BOSQUE IZQUIERDO,753-M3166688,Sun Apr  2 16:43:52 2023,"Apartamento de 47 metros, iluminado, con acabados modernos, 2do piso. Cuenta con 1 alcoba, 2 baños, la alcoba principal con baño, baño social, sala comedor, cocina integral abierta a gas, zona de lavandería, 1 garaje cubierto y deposito. El edificio cuenta con salón comunal, gimnasio, terraza BBQ, terrazas comunales, mini golf. Vigilancia 24 horas. Cómodas vías de acceso Carrera 4, Calle 26a. Cerca a la Universidad Javeriana, al Parque de la Independencia y a la Iglesia Nuestra Señora del Perpetuo Socorro. Precio de venta negociable. Apartamento arrendado.",santa fe,2
650000000.0,100.0,1.0,3.0,4.0,510000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Entre 0 y 5 años,BOSQUE IZQUIERDO,10139-M3768869,Sun Apr  2 16:43:59 2023,"Bellísimo apartamento en Bosque Izquierdo para venta de 100 mts con balcón. Una alcoba con vestier y baño, estudio o segunda alcoba con baño, baño social, sala con chimenea a gas, comedor con balcón, cocina abierta y zona de lavandería. Puerta de seguridad, vista exterior, dos garajes en línea y depósito. Cuenta con terraza comunal con bbq, parque infantil, dos ascensores. Estrato 4.",santa fe,2
260000000.0,54.0,1.0,1.0,3.0,221561.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Más de 20 años,La Macarena,14454-M4117124,Sun Apr  2 16:44:04 2023,"Apartamento en excelente ubicación, cerca de la Universidad Jorge Tadeo Lozano, parque Bicentenario, ingreso por la avenida Circunvalar. Buenos acabados, piso laminado, cocina integral, estudio, sala-comedor.",santa fe,3
380000000.0,59.18,1.0,1.0,3.0,350000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,Entre 0 y 5 años,BOSQUE IZQUIERDO,450-M2193771,Sun Apr  2 16:44:11 2023,"Apartamento ubicado en bosque izquierdo, sala comedor, cocina integral a gas, alcoba, estudio, baño, terraza, deposito, zona lavanderia., pisos en madera laminada. Cerca a universidades y avenidas principales..",santa fe,6
377000000.0,51.0,1.0,2.0,4.0,293900.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 5 y 10 años,La Macarena,847-M3359398,Sun Apr  2 16:44:18 2023,Esta vez traemos para ti este apartamento para la venta estilo loft ubicado en el Centro de la ciudad gozando de la oferta turística y de todos los lugares de interés históricos que se encuentran concentrados en ella de su enriquecedora gastronomía colores y música que te ofrecen sus calles. Con un moderno diseño esta propiedad te abre sus puertas con el área social donde encontramos una sala comedor cocina abierta estilo americano donde podrás atender a tu visita mientras preparas unos deliciosos pasabocas además por la sala hay acceso a un balcón. En seguida está el baño social y un muro flotante con chimenea que separa la parte del área social de la habitación esta última cuenta con baño privado y además con walk in closet. Para mayor información visita nuestra pagina web www.pads.com.co con el cód.7214,santa fe,
390000000.0,60.0,1.0,2.0,3.0,285000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Entre 5 y 10 años,La Macarena,2328-M3053859,Sun Apr  2 16:44:26 2023,"Financio espectacular apartamento para estrenar ubicado en lugar estratégico de la ciudad, muy cerca al centro histórico de la ciudad, centro internacional con ventanas termoacústicas, terraza, edificio con gimnasio, sala de juntas, BBQ, contacto Claudia Zarate",santa fe,4
450000000.0,39.0,1.0,1.0,3.0,166697.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 0 y 5 años,Bosque Izquierdo,12041-M4127654,Sun Apr  2 16:44:33 2023,"Apartaestudio en venta en el complejo arquitectónico BD Bacatá en Bogotá, Centro con alto desarrollo valorización. Excelente ubicación cerca a universidades, a lugares culturales y turísticos como el Chorro de Quevedo, la plaza de Bolívar, el Museo del Oro, la Biblioteca Nacional de Colombia y la Biblioteca Luis Ángel Arango. El apartamento está en un piso 23 por lo que tiene vista panorámica privilegiada, tiene 1 habitación, 1 baño, 1 parqueadero, balcón, sala comedor, cocina con horno y estufa de inducción, calentador eléctrico de paso, y está totalmente insonorizado.",santa fe,
390000000.0,55.0,1.0,2.0,4.0,272000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 0 y 5 años,Bosque Izquierdo,416-116945,Sun Apr  2 16:44:38 2023,"Apartaestudio en venta en el complejo arquitectónico BD Bacatá en Bogotá, Centro con alto desarrollo valorización. Excelente ubicación cerca a universidades, a lugares culturales y turísticos como el Chorro de Quevedo, la plaza de Bolívar, el Museo del Oro, la Biblioteca Nacional de Colombia y la Biblioteca Luis Ángel Arango. El apartamento está en un piso 23 por lo que tiene vista panorámica privilegiada, tiene 1 habitación, 1 baño, 1 parqueadero, balcón, sala comedor, cocina con horno y estufa de inducción, calentador eléctrico de paso, y está totalmente insonorizado.",santa fe,
1100000000.0,171.0,2.0,3.0,4.0,750000.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Más de 20 años,BOSQUE IZQUIERDO,4274-M2684484,Sun Apr  2 16:44:45 2023,"Amplio y rustico apartamento en el exclusivo sector de bosque izquierdo en bogota, el apartamento es exterior y esta rodeado de arboles, espacios ambplios. Rodeado de restaurantes y galerias, muy cerca del centro internacional y la candelaria.",santa fe,2
